数据生成时间：2020-12-31 14:51
数据生成条件：
1. 时间范围：20201228至20201230
2. 时间单位：分日
3. 推广设备：计算机，移动设备

日期,账户,推广计划,推广计划ID,展现,点击,消费,点击率,平均点击价格,网页转化,商桥转化
"2020-12-30","baidu-4重庆天极B20KA03223","公司软件-动态壁纸1",129556498,32473,3153,948.57,9.71%,0.30,0,0
"2020-12-30","baidu-4重庆天极B20KA03223","公司软件-桌面壁纸4",129899372,153441,7256,1763.15,4.73%,0.24,0,0
"2020-12-30","baidu-4重庆天极B20KA03223","公司软件-电脑壁纸3",130082123,115266,2927,739.09,2.54%,0.25,0,0
"2020-12-30","baidu-4重庆天极B20KA03223","公司软件-高清壁纸5",130082124,102208,3691,784.92,3.61%,0.21,0,0
"2020-12-30","baidu-4重庆天极B20KA03223","公司软件-动态桌面8",130507724,4086,325,97.73,7.95%,0.30,0,0
"2020-12-30","baidu-4重庆天极B20KA03223","公司软件-电脑桌面壁纸10",130507725,52513,1229,315.26,2.34%,0.26,0,0
"2020-12-30","baidu-4重庆天极B20KA03223","公司软件-电脑桌面9",130507726,67816,1529,444.71,2.25%,0.29,0,0
"2020-12-30","baidu-4重庆天极B20KA03223","公司软件-壁纸软件7",130507727,21392,2153,879.14,10.06%,0.41,0,0
"2020-12-30","baidu-4重庆天极B20KA03223","公司软件-壁纸-可爱",131435942,8073,509,98.33,6.30%,0.19,0,0
"2020-12-30","baidu-4重庆天极B20KA03223","公司软件-壁纸-动漫",131435943,39685,800,184.11,2.02%,0.23,0,0
"2020-12-30","baidu-4重庆天极B20KA03223","公司软件-壁纸-英雄联盟",131435944,7991,478,113.75,5.98%,0.24,0,0
"2020-12-30","baidu-4重庆天极B20KA03223","公司软件-壁纸-美女",131584460,12564,779,161.54,6.20%,0.21,0,0
"2020-12-30","baidu-4重庆天极B20KA03223","公司软件-壁纸-风景",131584461,8033,260,46.47,3.24%,0.18,0,0
"2020-12-30","baidu-4重庆天极B20KA03223","公司软件-壁纸-明星",131585678,32265,957,165.32,2.97%,0.17,0,0
"2020-12-30","baidu-4重庆天极B20KA03223","公司软件-壁纸-萌宠",131585679,2187,95,15.98,4.34%,0.17,0,0
"2020-12-30","baidu-4重庆天极B20KA03223","壁纸-皮卡丘",131764520,555,49,8.37,8.83%,0.17,0,0
"2020-12-30","baidu-4重庆天极B20KA03223","壁纸-汽车",131764521,7033,220,41.19,3.13%,0.19,0,0
"2020-12-30","baidu-4重庆天极B20KA03223","壁纸-美食",131764522,130,7,1.05,5.38%,0.15,0,0
"2020-12-30","baidu-4重庆天极B20KA03223","壁纸-神奇宝贝",131764527,562,16,3.46,2.85%,0.22,0,0
"2020-12-30","baidu-4重庆天极B20KA03223","壁纸-火影",131764529,7558,386,88.25,5.11%,0.23,0,0
"2020-12-30","baidu-4重庆天极B20KA03223","壁纸-海贼王",131764531,9330,638,134.93,6.84%,0.21,0,0
"2020-12-30","baidu-4重庆天极B20KA03223","壁纸-蜡笔小新",131764533,1489,111,22.05,7.45%,0.20,0,0
"2020-12-30","baidu-4重庆天极B20KA03223","壁纸-柯南",131764535,1002,64,12.30,6.39%,0.19,0,0
"2020-12-30","baidu-4重庆天极B20KA03223","壁纸-初音未来",131764536,653,30,5.96,4.59%,0.20,0,0
"2020-12-30","baidu-4重庆天极B20KA03223","壁纸-刀剑神域",131764537,309,12,2.09,3.88%,0.17,0,0
"2020-12-30","baidu-4重庆天极B20KA03223","壁纸-奥特曼",131764538,2543,221,49.27,8.69%,0.22,0,0
